YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2013,2020,NY,Illinois,Health Report,Health Status,Alcohol Use,Percentage affected,%,Crude,59.2,9.85,,Suppressed,14.17,70.01,3268,3567,36-50,Graduate,Male,Low,White,"(41.4902, -121.3042)",6,1,1,4,127,Age,Group A,3,1
2014,2020,WA,New York,Census,Risk Factors,Alcohol Use,Awareness level,Rate per 100k,Age-adjusted,3.39,47.59,†,Estimate,2.24,87.59,4833,7619,18-25,High School,Male,Low,White,"(31.1053, -120.9585)",7,9,4,4,40,Sex,Group A,1,4
2014,2018,NC,New York,Health Report,Risk Factors,Smoking,Percentage affected,Rate per 100k,Age-adjusted,99.27,46.69,†,Suppressed,7.86,62.79,3460,2596,18-25,High School,Female,Medium,Asian,"(43.1473, -80.0322)",7,5,7,9,104,Age,Group C,4,4
2024,2012,NC,Texas,Survey,Risk Factors,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,62.34,34.7,*,,10.82,87.95,3246,5908,50+,Graduate,Female,High,Asian,"(48.7610, -73.5940)",8,2,3,2,59,Race,Group A,1,2
2017,2010,NC,California,Health Report,Prevention,Smoking,Percentage affected,%,Crude,91.91,65.87,†,,21.35,78.52,327,1135,26-35,High School,Male,High,Other,"(48.1783, -71.3407)",4,1,3,7,39,Sex,Group C,4,2
2020,2023,CA,Illinois,Health Report,Prevention,Alcohol Use,Awareness level,%,Crude,39.88,88.9,*,Suppressed,3.63,94.79,2406,5313,26-35,High School,Female,Medium,Asian,"(29.5401, -109.9919)",2,2,5,3,130,Race,Group A,2,3
2013,2019,FL,Washington,Census,Health Status,Diabetes,Incidence rate,%,Crude,52.01,42.35,,Estimate,37.65,63.47,1485,6037,18-25,High School,Male,Medium,White,"(31.6475, -97.1715)",1,5,5,9,129,Income,Group B,3,2
2021,2013,NC,Georgia,Health Report,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Crude,30.07,30.94,*,,45.14,79.17,2160,4299,36-50,Graduate,Male,Medium,Other,"(27.1703, -78.8574)",4,2,4,8,77,Sex,Group A,4,4
2018,2014,FL,Texas,Health Report,Health Status,Obesity,Percentage affected,Rate per 100k,Age-adjusted,18.68,28.54,,,12.74,51.8,2644,1286,50+,High School,Female,Medium,White,"(41.1965, -121.2096)",5,8,8,4,177,Income,Group A,2,2
2010,2017,CA,Washington,Survey,Health Status,Obesity,Percentage affected,Rate per 100k,Age-adjusted,74.32,55.56,†,Estimate,2.28,56.42,1494,7804,36-50,Some College,Female,Medium,White,"(39.7103, -96.6735)",5,2,2,8,143,Age,Group C,1,4
2010,2023,TX,Florida,Census,Risk Factors,Diabetes,Awareness level,Rate per 100k,Crude,53.6,68.83,,Suppressed,24,74.93,850,431,50+,Some College,Male,Medium,Hispanic,"(36.7528, -76.1535)",1,7,3,5,132,Age,Group A,2,1
2017,2020,TX,Texas,Census,Risk Factors,Obesity,Incidence rate,Rate per 100k,Crude,57.32,57.38,*,,47.7,99.27,3223,8829,36-50,Some College,Female,High,Black,"(43.5702, -108.9934)",8,4,7,5,79,Sex,Group A,3,1
2017,2010,FL,Florida,Health Report,Health Status,Smoking,Incidence rate,Rate per 100k,Age-adjusted,45.95,27.77,†,Estimate,9.29,71.77,189,4826,18-25,High School,Female,Medium,White,"(45.4981, -70.5943)",2,8,6,7,144,Age,Group C,4,3
2024,2013,IL,Florida,Health Report,Risk Factors,Diabetes,Awareness level,%,Crude,49.79,25.94,,Estimate,48.55,76.83,423,8650,26-35,Some College,Female,Medium,Other,"(33.5215, -108.9516)",1,8,1,4,22,Age,Group A,2,3
2012,2016,TX,Illinois,Health Report,Prevention,Smoking,Percentage affected,Rate per 100k,Age-adjusted,43.96,66.46,*,Estimate,1.86,77.85,95,6456,50+,High School,Female,High,Hispanic,"(47.5444, -67.5627)",7,7,8,8,40,Race,Group B,3,4
2016,2010,CA,California,Survey,Prevention,Diabetes,Incidence rate,%,Crude,93.69,76.92,†,Estimate,23.84,74.75,2061,5243,50+,Some College,Male,High,Other,"(25.2214, -77.7032)",1,8,3,4,9,Age,Group A,2,3
2011,2014,GA,North Carolina,Health Report,Prevention,Obesity,Percentage affected,Rate per 100k,Age-adjusted,78.61,77.44,†,Estimate,1.75,76.86,3203,9387,50+,High School,Male,High,White,"(38.1612, -99.6486)",7,7,7,6,18,Race,Group B,1,3
2011,2012,CA,California,Survey,Health Status,Smoking,Incidence rate,Rate per 100k,Age-adjusted,92.25,93.19,†,Estimate,13.29,60.76,3141,8629,18-25,Graduate,Male,High,White,"(30.9799, -70.9174)",3,6,6,3,81,Income,Group A,4,4
2012,2024,IL,Texas,Survey,Health Status,Obesity,Incidence rate,Rate per 100k,Crude,3.36,15.85,,Estimate,29.78,80.44,1473,2289,18-25,High School,Male,Low,Other,"(38.5075, -106.6539)",9,3,7,9,22,Income,Group A,2,4
2021,2019,TX,Illinois,Census,Risk Factors,Smoking,Incidence rate,Rate per 100k,Crude,48.26,72.35,†,Estimate,14.12,99.64,4598,3943,50+,Some College,Female,Low,Black,"(45.7081, -79.7724)",1,1,2,7,28,Sex,Group A,4,1
2017,2014,IL,New York,Survey,Prevention,Smoking,Percentage affected,%,Crude,94.53,45.08,*,Suppressed,48.19,74.62,1748,9303,50+,Graduate,Female,High,White,"(37.4033, -87.3866)",3,3,6,6,101,Sex,Group B,4,4
2014,2022,WA,New York,Census,Health Status,Smoking,Awareness level,Rate per 100k,Age-adjusted,92.81,84.38,†,Estimate,42.23,69.15,3038,8744,26-35,Graduate,Female,High,White,"(37.9143, -106.4611)",9,4,6,6,79,Income,Group C,4,2
2010,2013,TX,California,Survey,Health Status,Alcohol Use,Awareness level,Rate per 100k,Age-adjusted,8.29,1.15,,,46.47,58.12,2992,4205,26-35,Graduate,Female,Low,Asian,"(35.7552, -100.8160)",4,4,7,4,95,Race,Group B,3,3
2015,2023,TX,Texas,Census,Risk Factors,Diabetes,Awareness level,%,Age-adjusted,18,6.51,*,Estimate,1.64,65.03,3709,2160,36-50,Graduate,Male,High,Other,"(39.8304, -75.7344)",9,6,3,7,178,Sex,Group C,4,3
2021,2021,IL,Texas,Survey,Prevention,Alcohol Use,Awareness level,%,Age-adjusted,79.94,47.3,*,Suppressed,31.6,89.61,1103,2705,26-35,Graduate,Male,High,Other,"(48.9912, -84.9262)",4,5,2,5,170,Age,Group C,3,4
2021,2024,CA,California,Health Report,Health Status,Diabetes,Percentage affected,%,Crude,56.6,53.13,*,Estimate,20.8,87.57,3157,7844,26-35,High School,Female,High,Black,"(29.4790, -120.0617)",6,2,9,8,78,Race,Group A,3,4
2013,2015,TX,Florida,Health Report,Health Status,Diabetes,Awareness level,%,Age-adjusted,47.87,61.23,†,,32.5,78.72,4951,9392,50+,Graduate,Female,Medium,White,"(40.3189, -86.8093)",8,9,2,3,194,Income,Group B,3,4
2015,2012,WA,Florida,Survey,Health Status,Diabetes,Awareness level,Rate per 100k,Age-adjusted,84.57,88.13,*,Suppressed,17.79,90.76,3202,2383,26-35,Graduate,Female,High,Hispanic,"(36.4618, -101.3412)",7,1,2,3,42,Income,Group B,4,3
2021,2017,NY,North Carolina,Survey,Risk Factors,Diabetes,Incidence rate,%,Age-adjusted,14.26,73.14,,,5.74,74.98,1503,9886,50+,High School,Female,High,White,"(45.8962, -70.7409)",5,9,4,8,17,Income,Group A,4,2
2011,2014,FL,Georgia,Survey,Prevention,Alcohol Use,Incidence rate,%,Age-adjusted,30.94,7.8,†,Estimate,12.45,66.8,4734,4268,18-25,Graduate,Male,High,Hispanic,"(45.8270, -83.7035)",4,1,4,5,3,Income,Group B,3,4
2023,2013,CA,Washington,Census,Health Status,Alcohol Use,Percentage affected,%,Crude,67.54,35.9,†,Estimate,42.16,92.68,4273,5411,36-50,High School,Male,Medium,White,"(48.9401, -84.7156)",8,6,8,2,81,Race,Group A,1,4
2021,2022,NY,Washington,Survey,Risk Factors,Obesity,Incidence rate,Rate per 100k,Crude,95.94,55.88,,Suppressed,10.03,72.54,4185,5188,50+,Some College,Female,Low,Black,"(26.4171, -88.1120)",4,1,7,1,37,Sex,Group B,1,3
2019,2018,FL,Georgia,Census,Health Status,Smoking,Percentage affected,Rate per 100k,Crude,38.72,27.22,,Estimate,5.59,99.1,2577,3719,18-25,Graduate,Male,Medium,Other,"(34.6675, -99.0790)",6,5,7,1,137,Sex,Group A,2,2
2012,2010,FL,California,Health Report,Risk Factors,Obesity,Awareness level,Rate per 100k,Crude,8.09,66.26,†,,43.55,94.17,336,6512,50+,Some College,Male,Low,White,"(29.5917, -90.0803)",2,2,2,7,172,Race,Group B,2,1
2024,2015,IL,California,Survey,Prevention,Smoking,Percentage affected,Rate per 100k,Crude,86.36,6.9,,,26.76,92.04,3455,1599,18-25,High School,Male,Medium,White,"(45.7183, -119.1928)",8,1,9,9,48,Income,Group A,2,4
2019,2018,CA,Texas,Health Report,Risk Factors,Alcohol Use,Incidence rate,Rate per 100k,Age-adjusted,46.78,90.52,,,5.51,87.83,2061,6422,50+,Graduate,Female,Medium,Other,"(44.0729, -123.9875)",6,9,5,9,149,Sex,Group B,2,1
2021,2019,NY,Texas,Health Report,Risk Factors,Alcohol Use,Incidence rate,%,Age-adjusted,91.87,57.1,*,Estimate,45.94,70.47,3109,4961,18-25,High School,Male,High,Asian,"(35.9437, -105.1264)",8,5,7,8,78,Sex,Group B,1,2
2023,2017,CA,Texas,Health Report,Risk Factors,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,4.03,96.07,†,,9.45,88.31,4284,8721,36-50,Some College,Female,Medium,Black,"(26.4088, -67.7751)",4,2,8,4,99,Race,Group C,2,3
2017,2024,TX,New York,Census,Risk Factors,Obesity,Awareness level,%,Age-adjusted,20.13,4.45,†,Estimate,34.09,99.28,4648,8782,18-25,High School,Female,High,Asian,"(44.8509, -105.8740)",7,1,9,6,14,Income,Group C,1,4
2014,2015,GA,Washington,Census,Risk Factors,Diabetes,Incidence rate,%,Crude,22.05,85.42,,Estimate,10.43,66.03,2924,4150,50+,Some College,Male,Medium,Black,"(41.6255, -84.8154)",5,4,9,2,191,Income,Group B,2,3
2018,2015,CA,Georgia,Survey,Prevention,Diabetes,Incidence rate,%,Crude,62.36,90.13,†,Suppressed,42.12,58.66,2007,1235,18-25,High School,Male,High,White,"(34.7972, -79.9602)",6,2,4,9,126,Race,Group A,4,3
2013,2016,CA,Florida,Health Report,Prevention,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,6.27,42.68,†,,39,61.58,148,4079,50+,High School,Male,Medium,Black,"(27.8246, -99.4479)",4,2,8,3,17,Race,Group B,1,1
2012,2023,CA,California,Survey,Health Status,Alcohol Use,Awareness level,Rate per 100k,Crude,82.31,81.52,*,,3.46,94.1,3462,4248,36-50,High School,Male,Low,Hispanic,"(43.6551, -101.8216)",7,6,6,5,86,Sex,Group B,2,2
2021,2017,NY,North Carolina,Survey,Prevention,Diabetes,Incidence rate,%,Crude,18.69,32.43,,Estimate,14.03,72.56,1835,7652,18-25,Graduate,Female,Medium,Black,"(30.7093, -90.4940)",5,9,4,1,40,Race,Group B,1,3
2016,2023,TX,Washington,Survey,Health Status,Obesity,Percentage affected,Rate per 100k,Crude,1.78,94.87,†,,40.37,95.04,1640,3884,18-25,Some College,Female,High,Asian,"(47.0185, -82.7538)",6,8,1,2,86,Income,Group C,2,4
2012,2020,FL,Florida,Survey,Prevention,Diabetes,Awareness level,Rate per 100k,Crude,87.5,86.55,,Suppressed,31.21,64.84,4417,6392,50+,Some College,Female,Low,White,"(48.2357, -102.3289)",3,7,6,9,77,Age,Group C,1,2
2024,2021,NC,Texas,Health Report,Health Status,Smoking,Incidence rate,Rate per 100k,Age-adjusted,27.49,49.03,,Suppressed,43.01,54.24,1873,8457,36-50,High School,Female,High,Black,"(35.1273, -88.5382)",9,8,8,9,169,Income,Group A,1,1
2011,2023,IL,Florida,Health Report,Health Status,Smoking,Percentage affected,Rate per 100k,Age-adjusted,75.38,3.6,*,Estimate,35.35,89.22,4050,2431,50+,High School,Female,Low,Black,"(27.4062, -86.9633)",4,3,5,9,114,Age,Group B,2,3
2014,2018,FL,Florida,Census,Risk Factors,Smoking,Incidence rate,%,Age-adjusted,84.08,41.42,†,Suppressed,42.66,96.91,1576,322,26-35,Graduate,Male,High,Hispanic,"(41.6914, -71.8680)",1,5,5,1,153,Sex,Group C,4,3
2014,2014,NC,North Carolina,Survey,Prevention,Obesity,Percentage affected,%,Age-adjusted,48.03,79.19,†,,23.47,94.11,2501,5587,18-25,Graduate,Male,Medium,Asian,"(37.1689, -110.7515)",6,2,5,8,196,Race,Group B,2,4
2021,2018,NY,Illinois,Survey,Health Status,Obesity,Awareness level,Rate per 100k,Age-adjusted,2.35,23.5,†,,31.51,86.07,3538,5192,50+,Graduate,Female,Low,Hispanic,"(26.9706, -75.8135)",1,5,1,7,51,Sex,Group C,2,4
2023,2014,CA,New York,Census,Prevention,Smoking,Awareness level,%,Crude,58.51,87.78,†,,10.63,69.54,2147,3177,36-50,Graduate,Female,Low,White,"(25.5925, -88.8154)",7,9,1,1,108,Sex,Group C,2,2
2019,2017,FL,Washington,Survey,Health Status,Alcohol Use,Awareness level,%,Crude,34.25,17.63,,Suppressed,24.34,67.15,1072,4300,18-25,Some College,Male,Low,Asian,"(28.4256, -69.3693)",4,2,9,5,57,Race,Group B,3,1
2020,2011,IL,Georgia,Survey,Health Status,Diabetes,Incidence rate,Rate per 100k,Crude,40.53,34.93,†,Suppressed,4.54,79.75,112,9575,26-35,High School,Male,Low,Hispanic,"(40.0278, -94.2373)",5,9,7,5,154,Sex,Group B,3,4
2017,2018,NY,New York,Survey,Prevention,Diabetes,Percentage affected,Rate per 100k,Crude,2.05,48.5,*,,25.33,93.4,4597,6922,26-35,High School,Female,Low,White,"(38.1930, -123.6575)",5,9,5,1,121,Sex,Group C,4,1
2017,2012,GA,Illinois,Survey,Prevention,Obesity,Percentage affected,%,Age-adjusted,96,43.06,,,38.91,58.28,415,1243,50+,Some College,Female,Medium,White,"(47.0305, -83.7290)",6,2,2,3,43,Sex,Group B,2,3
2020,2022,FL,Georgia,Survey,Prevention,Diabetes,Awareness level,Rate per 100k,Crude,46.38,89.82,,Estimate,37.42,75.39,2434,7643,36-50,High School,Male,Medium,White,"(38.1027, -107.0874)",8,2,1,4,183,Income,Group B,4,3
2017,2020,IL,Texas,Survey,Prevention,Obesity,Incidence rate,Rate per 100k,Crude,2.42,67.63,,,26.78,53.72,1873,6586,26-35,Graduate,Female,Medium,White,"(46.8210, -113.8489)",9,3,6,9,192,Race,Group A,4,4
2023,2019,IL,New York,Census,Risk Factors,Alcohol Use,Awareness level,%,Crude,95.09,82.2,†,,25.12,73.4,4299,5049,50+,High School,Female,Low,Hispanic,"(39.5072, -101.3761)",1,6,1,4,57,Income,Group C,4,1
2018,2017,NC,Florida,Health Report,Health Status,Alcohol Use,Percentage affected,Rate per 100k,Crude,80.15,78.78,†,Estimate,8.84,97.31,1908,7665,26-35,Graduate,Female,High,Hispanic,"(34.8956, -114.3414)",7,2,3,6,97,Income,Group B,2,3
2019,2011,IL,New York,Survey,Risk Factors,Smoking,Incidence rate,%,Crude,83.73,45.74,,Suppressed,49.37,97.78,3938,404,18-25,Some College,Male,High,Other,"(46.9309, -123.2472)",5,8,2,6,76,Race,Group C,3,2
2013,2010,TX,Texas,Survey,Health Status,Alcohol Use,Incidence rate,%,Crude,64.02,95.74,†,,34.48,93.91,2786,3982,18-25,Graduate,Female,High,Asian,"(38.3967, -105.4967)",8,7,3,1,52,Sex,Group A,1,2
2021,2024,WA,New York,Survey,Risk Factors,Obesity,Percentage affected,%,Age-adjusted,40.36,67.36,,Estimate,17.41,65.93,494,3616,18-25,Some College,Male,Low,Other,"(30.8182, -68.0918)",7,3,3,2,165,Income,Group B,3,4
2021,2010,GA,California,Survey,Risk Factors,Diabetes,Incidence rate,%,Age-adjusted,3.2,11.99,,Estimate,41.2,84.75,1110,9516,50+,High School,Male,Low,Asian,"(44.0052, -96.7912)",6,5,5,5,136,Sex,Group B,4,3
2011,2015,TX,Florida,Survey,Risk Factors,Obesity,Awareness level,Rate per 100k,Crude,33.4,88.51,*,,30.52,89.47,2695,6773,26-35,High School,Female,Low,Other,"(44.4944, -102.4162)",8,1,8,1,93,Income,Group B,4,4
2020,2012,GA,New York,Survey,Health Status,Alcohol Use,Incidence rate,Rate per 100k,Crude,29.73,9.5,*,,7.84,92.62,2253,426,50+,High School,Female,High,White,"(36.0866, -71.3246)",3,3,9,7,149,Age,Group B,3,3
2022,2015,CA,Florida,Census,Risk Factors,Smoking,Percentage affected,%,Age-adjusted,21.26,56.25,,Estimate,40.98,80.07,2913,8632,26-35,Graduate,Male,High,Asian,"(30.5222, -71.2548)",6,5,3,1,18,Age,Group B,3,3
2014,2024,WA,California,Census,Prevention,Smoking,Percentage affected,Rate per 100k,Age-adjusted,17.53,39.07,,Estimate,41.82,84.9,3508,4401,26-35,Graduate,Female,Medium,Black,"(39.1478, -90.6760)",6,6,4,5,171,Race,Group A,4,2
2010,2015,FL,Texas,Survey,Health Status,Smoking,Awareness level,Rate per 100k,Age-adjusted,14.17,18.07,†,Suppressed,18.86,96.19,4812,8104,18-25,Graduate,Male,Medium,Hispanic,"(38.3709, -84.9928)",7,2,3,3,20,Race,Group C,3,2
2018,2014,WA,New York,Census,Prevention,Obesity,Incidence rate,Rate per 100k,Crude,31.83,41.72,*,,41.71,94.16,3769,7316,50+,Graduate,Female,High,Black,"(26.0433, -115.3087)",1,6,9,6,87,Age,Group B,1,4
2022,2021,IL,North Carolina,Census,Risk Factors,Smoking,Awareness level,Rate per 100k,Crude,34.94,23.95,,Suppressed,34.25,64.7,1971,6717,18-25,Some College,Male,Low,Black,"(35.7225, -67.6215)",9,2,2,9,123,Age,Group A,2,2
2014,2024,CA,North Carolina,Health Report,Prevention,Diabetes,Percentage affected,%,Age-adjusted,40.48,61.81,†,Suppressed,10.56,92.65,4866,2335,36-50,Graduate,Male,Medium,Other,"(29.9304, -116.3646)",2,4,5,6,174,Sex,Group A,3,1
2015,2019,WA,New York,Survey,Risk Factors,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,55.57,49.21,*,Estimate,32.21,97.59,3955,770,36-50,Graduate,Male,Low,Black,"(40.8377, -85.0545)",4,1,8,2,40,Income,Group B,1,1
2016,2011,NC,North Carolina,Survey,Health Status,Smoking,Percentage affected,Rate per 100k,Crude,35.9,77.93,†,,18.37,63.41,2836,4285,50+,High School,Female,Medium,Black,"(27.3863, -102.2608)",8,9,2,9,66,Race,Group B,4,1
2012,2015,CA,Washington,Health Report,Health Status,Diabetes,Incidence rate,%,Age-adjusted,62.72,39.53,†,Suppressed,13.75,57.29,1497,7112,36-50,High School,Male,Medium,Black,"(44.3986, -75.7486)",3,1,6,4,143,Race,Group B,1,3
2024,2014,NY,Georgia,Census,Risk Factors,Alcohol Use,Awareness level,%,Age-adjusted,15.73,1.54,†,,25.66,95.07,1587,2931,36-50,High School,Female,Low,White,"(29.4861, -111.1964)",2,3,8,1,167,Sex,Group A,4,3
2023,2012,IL,Illinois,Survey,Risk Factors,Diabetes,Percentage affected,%,Age-adjusted,2.27,85.71,,Estimate,25,80.92,1306,5982,26-35,Some College,Male,Low,Black,"(39.9127, -120.2616)",4,1,1,7,183,Race,Group B,1,3
2016,2024,TX,California,Census,Prevention,Diabetes,Percentage affected,%,Crude,51.46,16.37,*,Suppressed,46.85,84.78,3797,2087,50+,High School,Female,Medium,White,"(25.7974, -78.1487)",8,9,6,3,27,Age,Group A,3,3
2013,2020,IL,Texas,Survey,Health Status,Smoking,Awareness level,Rate per 100k,Crude,18.32,60.42,†,Estimate,41.97,74.39,686,5028,50+,High School,Male,Medium,White,"(35.9195, -121.3506)",1,5,6,2,38,Age,Group A,2,2
2013,2017,TX,Texas,Health Report,Risk Factors,Smoking,Incidence rate,Rate per 100k,Crude,59,21.7,,,18.36,86.39,3700,8722,18-25,High School,Male,High,Black,"(47.0125, -106.7186)",4,8,3,6,118,Income,Group A,4,3
2023,2019,GA,Florida,Health Report,Health Status,Alcohol Use,Percentage affected,%,Age-adjusted,31.4,9.89,,Suppressed,26.31,66.69,1423,1662,26-35,Graduate,Female,Low,Other,"(30.8898, -71.2376)",7,1,8,5,34,Sex,Group C,4,1
2024,2012,TX,Texas,Health Report,Risk Factors,Smoking,Awareness level,Rate per 100k,Crude,32.52,29.28,*,Estimate,34.81,77.21,94,534,26-35,High School,Male,Low,Hispanic,"(37.4838, -96.8060)",1,9,9,6,139,Race,Group A,3,4
2015,2018,CA,Georgia,Survey,Risk Factors,Alcohol Use,Percentage affected,Rate per 100k,Age-adjusted,19.53,22.17,*,Estimate,28.44,64.2,3317,8659,50+,Some College,Male,Medium,White,"(47.3771, -87.6383)",4,3,5,3,84,Sex,Group B,2,1
2016,2011,NY,New York,Survey,Health Status,Diabetes,Incidence rate,Rate per 100k,Age-adjusted,72.95,77.15,,,18.98,87.1,1541,6811,26-35,Graduate,Male,High,White,"(39.1007, -84.4350)",6,3,1,9,53,Income,Group C,4,4
2012,2022,WA,California,Health Report,Health Status,Diabetes,Incidence rate,Rate per 100k,Age-adjusted,18.32,78.96,†,Suppressed,18.21,96.49,1849,5651,26-35,Graduate,Male,High,Hispanic,"(44.1657, -84.4105)",3,7,2,1,127,Income,Group B,3,3
2011,2013,NC,Illinois,Census,Risk Factors,Smoking,Incidence rate,Rate per 100k,Crude,52.92,39.34,†,Estimate,36.14,86.45,2048,8539,36-50,Graduate,Female,Medium,Hispanic,"(29.4760, -98.8126)",7,6,1,9,55,Income,Group B,2,4
2024,2024,CA,Washington,Survey,Health Status,Smoking,Awareness level,Rate per 100k,Crude,50.97,8.59,†,Estimate,10.73,54.75,1560,8095,26-35,Graduate,Male,High,White,"(46.3179, -77.3534)",7,4,7,7,82,Sex,Group A,2,2
2021,2014,IL,North Carolina,Survey,Risk Factors,Obesity,Percentage affected,Rate per 100k,Age-adjusted,16.58,49.38,,,27.57,78.16,1944,9398,36-50,Some College,Female,High,Other,"(34.7851, -69.4906)",8,1,6,2,171,Race,Group A,4,2
2017,2014,IL,California,Census,Health Status,Alcohol Use,Percentage affected,Rate per 100k,Age-adjusted,92.97,72.84,†,Suppressed,19.56,73.1,436,9954,26-35,Graduate,Female,Low,Asian,"(26.6149, -86.0989)",2,1,3,4,51,Income,Group A,2,1
2011,2022,TX,Georgia,Census,Health Status,Smoking,Percentage affected,%,Age-adjusted,50.67,90.59,,Estimate,41.72,68.35,1220,8508,36-50,Some College,Male,High,White,"(39.1058, -113.1109)",1,4,2,5,87,Income,Group B,1,2
2017,2015,IL,Texas,Health Report,Prevention,Obesity,Percentage affected,Rate per 100k,Crude,54.05,28.81,*,,26.52,66.41,3274,9857,50+,High School,Male,High,Other,"(46.7314, -77.3363)",5,1,7,5,157,Sex,Group A,3,4
2021,2015,NC,Texas,Survey,Prevention,Diabetes,Percentage affected,%,Crude,13.62,82.05,*,,49.64,51.11,2412,7681,36-50,High School,Female,Low,Black,"(46.3213, -114.7625)",5,2,8,8,38,Income,Group B,2,3
2019,2024,IL,Illinois,Survey,Risk Factors,Alcohol Use,Percentage affected,%,Crude,84.92,40.38,†,Estimate,29.55,82.38,194,9213,26-35,Some College,Male,Medium,White,"(47.6293, -123.6495)",2,8,4,2,21,Sex,Group A,1,2
2024,2016,FL,Illinois,Health Report,Prevention,Alcohol Use,Incidence rate,Rate per 100k,Crude,46.62,80.79,,Suppressed,4.03,80.24,1451,5913,36-50,Graduate,Male,Medium,Asian,"(32.7398, -94.8850)",1,9,3,6,75,Income,Group A,4,1
2016,2013,GA,North Carolina,Survey,Prevention,Diabetes,Percentage affected,Rate per 100k,Age-adjusted,5.8,5.37,†,Suppressed,49.52,97.68,446,2227,26-35,Some College,Female,High,White,"(30.7693, -75.4115)",1,3,6,7,102,Sex,Group A,4,1
2011,2012,GA,Texas,Health Report,Risk Factors,Diabetes,Awareness level,%,Age-adjusted,22.46,82.51,†,Estimate,23.74,90.91,731,3616,36-50,Graduate,Female,Medium,Other,"(33.3209, -117.5417)",8,9,5,1,116,Race,Group A,3,2
2022,2021,IL,North Carolina,Survey,Health Status,Alcohol Use,Percentage affected,%,Crude,70.46,2.93,*,Estimate,3.16,74,1734,896,50+,High School,Male,Medium,Black,"(40.3328, -88.0967)",7,5,7,4,15,Sex,Group B,2,3
